date,day_of_week,gold_open,gold_close,gold_high,gold_low,gold_range,gold_change_pct,gold_bullish,gold_ema_31,gold_ema_113,gold_ema_relation,gann_swing_high,gann_swing_low,gann_trend,fib_levels_json,gann_key_level_held,gann_breached_level,gann_reaction,gann_base,gann_scale,gann_nearest_support,gann_nearest_resistance,gann_gap,gann_held,gann_breached,gann_levels_json,sun_sign,sun_deg,moon_sign,moon_deg,moon_nakshatra,mercury_sign,mercury_deg,mercury_retro,venus_sign,venus_deg,venus_retro,mars_sign,mars_deg,mars_retro,jupiter_sign,jupiter_deg,jupiter_retro,saturn_sign,saturn_deg,saturn_retro,rahu_sign,rahu_deg,ketu_sign,ketu_deg,mercury_elong_deg,mercury_elong_dir,mercury_combust,venus_elong_deg,venus_elong_dir,venus_combust,mars_elong_deg,mars_combust,jupiter_elong_deg,saturn_elong_deg,aspects_json,eclipse_active,eclipse_type,eclipse_days_away,moon_phase,moon_illumination_pct,economic_events,economic_impact,market_reaction,trend_direction,volatility,dominant_planet_hour,sunrise_local,dxy_close,dxy_change_pct,dxy_direction,us10y_close,us10y_change
2022-11-01,Tuesday,1630.8,1645.0,1653.7,1630.8,22.9,0.87,True,1665.59,1739.17,below,1653.7,1630.8,UP,"{""0"": 1630.8, ""0.2126"": 1635.67, ""0.5"": 1642.25, ""0.618"": 1644.95, ""0.7874"": 1648.83, ""1"": 1653.7, ""1.2126"": 1658.57, ""1.5"": 1665.15, ""1.618"": 1667.85, ""1.7874"": 1671.73}",True,0.618,bounce,165,10,1586.4,1714.85,128.45,False,,"{""base"": 165, ""scale"": 10, ""supports"": [1176.19, 1231.04, 1287.14, 1344.49, 1403.1, 1462.95, 1524.05, 1586.4], ""resistances"": [1714.85, 1780.95, 1848.3, 1916.9, 1986.76, 2057.86, 2130.21, 2203.81]}",Libra,14.37,Capricorn,10.74,Shravana,Libra,9.49,False,Libra,16.7,False,Gemini,1.43,True,Pisces,5.52,True,Capricorn,24.48,False,Aries,19.26,Libra,19.26,4.88,W,False,2.33,E,True,132.94,False,141.15,100.11,"[{""planet1"": ""Sun"", ""planet2"": ""Moon"", ""aspect"": ""Square"", ""orb_deg"": 3.63}, {""planet1"": ""Sun"", ""planet2"": ""Mercury"", ""aspect"": ""Conjunction"", ""orb_deg"": 4.88}, {""planet1"": ""Sun"", ""planet2"": ""Venus"", ""aspect"": ""Conjunction"", ""orb_deg"": 2.33}, {""planet1"": ""Sun"", ""planet2"": ""Rahu"", ""aspect"": ""Opposition"", ""orb_deg"": 4.89}, {""planet1"": ""Sun"", ""planet2"": ""Ketu"", ""aspect"": ""Conjunction"", ""orb_deg"": 4.89}, {""planet1"": ""Moon"", ""planet2"": ""Mercury"", ""aspect"": ""Square"", ""orb_deg"": 1.25}, {""planet1"": ""Venus"", ""planet2"": ""Rahu"", ""aspect"": ""Opposition"", ""orb_deg"": 2.56}, {""planet1"": ""Venus"", ""planet2"": ""Ketu"", ""aspect"": ""Conjunction"", ""orb_deg"": 2.56}, {""planet1"": ""Rahu"", ""planet2"": ""Ketu"", ""aspect"": ""Opposition"", ""orb_deg"": 0.0}]",False,,0,First Quarter,46.8,ISM Manufacturing PMI (medium),medium,mild_trend,bullish,medium,Mars,5.76,111.48,,neutral,,
2022-11-02,Wednesday,1650.8,1645.7,1664.7,1634.0,30.7,-0.31,False,1664.35,1737.53,below,1664.7,1634.0,DOWN,"{""0"": 1664.7, ""0.2126"": 1658.17, ""0.5"": 1649.35, ""0.618"": 1645.73, ""0.7874"": 1640.53, ""1"": 1634.0, ""1.2126"": 1627.47, ""1.5"": 1618.65, ""1.618"": 1615.03, ""1.7874"": 1609.83}",True,0.618,bounce,166,10,1596.2,1725.05,128.85,False,,"{""base"": 166, ""scale"": 10, ""supports"": [1184.64, 1239.68, 1295.98, 1353.52, 1412.32, 1472.36, 1533.66, 1596.2], ""resistances"": [1725.05, 1791.34, 1858.89, 1927.68, 1997.73, 2069.02, 2141.57, 2215.36]}",Libra,15.37,Capricorn,24.87,Dhanishta,Libra,11.15,False,Libra,17.95,False,Gemini,1.4,True,Pisces,5.45,True,Capricorn,24.5,False,Aries,19.21,Libra,19.21,4.22,W,False,2.58,E,True,133.97,False,140.08,99.13,"[{""planet1"": ""Sun"", ""planet2"": ""Mercury"", ""aspect"": ""Conjunction"", ""orb_deg"": 4.22}, {""planet1"": ""Sun"", ""planet2"": ""Venus"", ""aspect"": ""Conjunction"", ""orb_deg"": 2.58}, {""planet1"": ""Sun"", ""planet2"": ""Rahu"", ""aspect"": ""Opposition"", ""orb_deg"": 3.84}, {""planet1"": ""Sun"", ""planet2"": ""Ketu"", ""aspect"": ""Conjunction"", ""orb_deg"": 3.84}, {""planet1"": ""Moon"", ""planet2"": ""Saturn"", ""aspect"": ""Conjunction"", ""orb_deg"": 0.37}, {""planet1"": ""Venus"", ""planet2"": ""Rahu"", ""aspect"": ""Opposition"", ""orb_deg"": 1.26}, {""planet1"": ""Venus"", ""planet2"": ""Ketu"", ""aspect"": ""Conjunction"", ""orb_deg"": 1.26}, {""planet1"": ""Rahu"", ""planet2"": ""Ketu"", ""aspect"": ""Opposition"", ""orb_deg"": 0.0}]",False,,0,First Quarter,58.3,ADP Non-Farm Employment (medium) | FOMC Rate Decision (high),high,reversal_signal,bearish,medium,Mercury,5.76,111.35,-0.12,bearish,,
2022-11-03,Thursday,1629.2,1627.3,1629.2,1615.1,14.1,-0.12,False,1662.03,1735.6,below,1629.2,1615.1,DOWN,"{""0"": 1629.2, ""0.2126"": 1626.2, ""0.5"": 1622.15, ""0.618"": 1620.49, ""0.7874"": 1618.1, ""1"": 1615.1, ""1.2126"": 1612.1, ""1.5"": 1608.05, ""1.618"": 1606.39, ""1.7874"": 1604.0}",True,0.2126,bounce,162,10,1556.99,1684.26,127.27,False,,"{""base"": 162, ""scale"": 10, ""supports"": [1150.88, 1205.15, 1260.66, 1317.43, 1375.44, 1434.71, 1495.22, 1556.99], ""resistances"": [1684.26, 1749.78, 1816.54, 1884.56, 1953.82, 2024.34, 2096.1, 2169.12]}",Libra,16.37,Aquarius,8.86,Shatabhisha,Libra,12.8,False,Libra,19.2,False,Gemini,1.36,True,Pisces,5.37,True,Capricorn,24.52,False,Aries,19.15,Libra,19.15,3.57,W,False,2.83,E,True,135.01,False,139.0,98.15,"[{""planet1"": ""Sun"", ""planet2"": ""Mercury"", ""aspect"": ""Conjunction"", ""orb_deg"": 3.57}, {""planet1"": ""Sun"", ""planet2"": ""Venus"", ""aspect"": ""Conjunction"", ""orb_deg"": 2.83}, {""planet1"": ""Sun"", ""planet2"": ""Rahu"", ""aspect"": ""Opposition"", ""orb_deg"": 2.78}, {""planet1"": ""Sun"", ""planet2"": ""Ketu"", ""aspect"": ""Conjunction"", ""orb_deg"": 2.78}, {""planet1"": ""Moon"", ""planet2"": ""Mercury"", ""aspect"": ""Trine"", ""orb_deg"": 3.94}, {""planet1"": ""Venus"", ""planet2"": ""Rahu"", ""aspect"": ""Opposition"", ""orb_deg"": 0.05}, {""planet1"": ""Venus"", ""planet2"": ""Ketu"", ""aspect"": ""Conjunction"", ""orb_deg"": 0.05}, {""planet1"": ""Rahu"", ""planet2"": ""Ketu"", ""aspect"": ""Opposition"", ""orb_deg"": 0.0}]",False,,0,First Quarter,69.1,ISM Services PMI (medium) | Initial Jobless Claims (low),medium,reversal_signal,bearish,low,Jupiter,5.77,112.93,1.42,bullish,,
2022-11-04,Friday,1630.2,1672.5,1674.5,1629.0,45.5,2.59,True,1662.69,1734.49,below,1674.5,1629.0,UP,"{""0"": 1629.0, ""0.2126"": 1638.67, ""0.5"": 1651.75, ""0.618"": 1657.12, ""0.7874"": 1664.83, ""1"": 1674.5, ""1.2126"": 1684.17, ""1.5"": 1697.25, ""1.618"": 1702.62, ""1.7874"": 1710.33}",True,1,bounce,167,10,1606.01,1735.24,129.23,False,,"{""base"": 167, ""scale"": 10, ""supports"": [1193.09, 1248.33, 1304.81, 1362.55, 1421.54, 1481.78, 1543.27, 1606.01], ""resistances"": [1735.24, 1801.73, 1869.47, 1938.46, 2008.7, 2080.19, 2152.92, 2226.91]}",Libra,17.37,Aquarius,22.69,Purva Bhadrapada,Libra,14.44,False,Libra,20.46,False,Gemini,1.3,True,Pisces,5.31,True,Capricorn,24.54,False,Aries,19.1,Libra,19.1,2.93,W,False,3.09,E,True,136.07,False,137.94,97.17,"[{""planet1"": ""Sun"", ""planet2"": ""Mercury"", ""aspect"": ""Conjunction"", ""orb_deg"": 2.93}, {""planet1"": ""Sun"", ""planet2"": ""Venus"", ""aspect"": ""Conjunction"", ""orb_deg"": 3.08}, {""planet1"": ""Sun"", ""planet2"": ""Rahu"", ""aspect"": ""Opposition"", ""orb_deg"": 1.73}, {""planet1"": ""Sun"", ""planet2"": ""Ketu"", ""aspect"": ""Conjunction"", ""orb_deg"": 1.73}, {""planet1"": ""Moon"", ""planet2"": ""Venus"", ""aspect"": ""Trine"", ""orb_deg"": 2.23}, {""planet1"": ""Moon"", ""planet2"": ""Rahu"", ""aspect"": ""Sextile"", ""orb_deg"": 3.59}, {""planet1"": ""Moon"", ""planet2"": ""Ketu"", ""aspect"": ""Trine"", ""orb_deg"": 3.59}, {""planet1"": ""Mercury"", ""planet2"": ""Rahu"", ""aspect"": ""Opposition"", ""orb_deg"": 4.66}, {""planet1"": ""Mercury"", ""planet2"": ""Ketu"", ""aspect"": ""Conjunction"", ""orb_deg"": 4.66}, {""planet1"": ""Venus"", ""planet2"": ""Rahu"", ""aspect"": ""Opposition"", ""orb_deg"": 1.35}, {""planet1"": ""Venus"", ""planet2"": ""Ketu"", ""aspect"": ""Conjunction"", ""orb_deg"": 1.35}, {""planet1"": ""Rahu"", ""planet2"": ""Ketu"", ""aspect"": ""Opposition"", ""orb_deg"": 0.0}]",False,,0,Waxing Gibbous,78.9,Non-Farm Payrolls (NFP) (high) | Unemployment Rate (high) | Avg Hourly Earnings (medium),high,strong_trend,bullish,high,Venus,5.77,110.88,-1.82,bearish,,
2022-11-07,Monday,1676.9,1676.5,1677.9,1672.9,5.0,-0.02,False,1663.55,1733.48,below,1677.9,1672.9,DOWN,"{""0"": 1677.9, ""0.2126"": 1676.84, ""0.5"": 1675.4, ""0.618"": 1674.81, ""0.7874"": 1673.96, ""1"": 1672.9, ""1.2126"": 1671.84, ""1.5"": 1670.4, ""1.618"": 1669.81, ""1.7874"": 1668.96}",True,0.5,bounce,167,10,1606.01,1735.24,129.23,False,,"{""base"": 167, ""scale"": 10, ""supports"": [1193.09, 1248.33, 1304.81, 1362.55, 1421.54, 1481.78, 1543.27, 1606.01], ""resistances"": [1735.24, 1801.73, 1869.47, 1938.46, 2008.7, 2080.19, 2152.92, 2226.91]}",Libra,20.38,Aries,2.97,Ashwini,Libra,19.34,False,Libra,24.22,False,Gemini,1.04,True,Pisces,5.12,True,Capricorn,24.6,False,Aries,18.94,Libra,18.94,1.04,W,True,3.84,E,True,139.34,False,134.74,94.22,"[{""planet1"": ""Sun"", ""planet2"": ""Mercury"", ""aspect"": ""Conjunction"", ""orb_deg"": 1.04}, {""planet1"": ""Sun"", ""planet2"": ""Venus"", ""aspect"": ""Conjunction"", ""orb_deg"": 3.84}, {""planet1"": ""Sun"", ""planet2"": ""Rahu"", ""aspect"": ""Opposition"", ""orb_deg"": 1.44}, {""planet1"": ""Sun"", ""planet2"": ""Ketu"", ""aspect"": ""Conjunction"", ""orb_deg"": 1.44}, {""planet1"": ""Moon"", ""planet2"": ""Mars"", ""aspect"": ""Sextile"", ""orb_deg"": 1.93}, {""planet1"": ""Mercury"", ""planet2"": ""Venus"", ""aspect"": ""Conjunction"", ""orb_deg"": 4.88}, {""planet1"": ""Mercury"", ""planet2"": ""Rahu"", ""aspect"": ""Opposition"", ""orb_deg"": 0.4}, {""planet1"": ""Mercury"", ""planet2"": ""Ketu"", ""aspect"": ""Conjunction"", ""orb_deg"": 0.4}, {""planet1"": ""Venus"", ""planet2"": ""Saturn"", ""aspect"": ""Square"", ""orb_deg"": 0.39}, {""planet1"": ""Rahu"", ""planet2"": ""Ketu"", ""aspect"": ""Opposition"", ""orb_deg"": 0.0}]",False,,0,Full Moon,97.7,,none,reversal_signal,bearish,low,Moon,5.79,110.12,-0.69,bearish,,
2022-11-08,Tuesday,1703.2,1712.1,1712.1,1703.2,8.9,0.52,True,1666.58,1733.1,below,1712.1,1703.2,UP,"{""0"": 1703.2, ""0.2126"": 1705.09, ""0.5"": 1707.65, ""0.618"": 1708.7, ""0.7874"": 1710.21, ""1"": 1712.1, ""1.2126"": 1713.99, ""1.5"": 1716.55, ""1.618"": 1717.6, ""1.7874"": 1719.11}",True,0.7874,bounce,171,10,1645.24,1776.01,130.77,False,,"{""base"": 171, ""scale"": 10, ""supports"": [1226.93, 1282.94, 1340.2, 1398.71, 1458.47, 1519.47, 1581.73, 1645.24], ""resistances"": [1776.01, 1843.27, 1911.78, 1981.53, 2052.54, 2124.8, 2198.31, 2273.07]}",Libra,21.38,Aries,15.95,Bharani,Libra,20.96,False,Libra,25.47,False,Gemini,0.92,True,Pisces,5.06,True,Capricorn,24.63,False,Aries,18.89,Libra,18.89,0.42,W,True,4.09,E,False,140.46,False,133.68,93.25,"[{""planet1"": ""Sun"", ""planet2"": ""Mercury"", ""aspect"": ""Conjunction"", ""orb_deg"": 0.42}, {""planet1"": ""Sun"", ""planet2"": ""Venus"", ""aspect"": ""Conjunction"", ""orb_deg"": 4.09}, {""planet1"": ""Sun"", ""planet2"": ""Saturn"", ""aspect"": ""Square"", ""orb_deg"": 3.25}, {""planet1"": ""Sun"", ""planet2"": ""Rahu"", ""aspect"": ""Opposition"", ""orb_deg"": 2.49}, {""planet1"": ""Sun"", ""planet2"": ""Ketu"", ""aspect"": ""Conjunction"", ""orb_deg"": 2.49}, {""planet1"": ""Moon"", ""planet2"": ""Rahu"", ""aspect"": ""Conjunction"", ""orb_deg"": 2.94}, {""planet1"": ""Moon"", ""planet2"": ""Ketu"", ""aspect"": ""Opposition"", ""orb_deg"": 2.94}, {""planet1"": ""Mercury"", ""planet2"": ""Venus"", ""aspect"": ""Conjunction"", ""orb_deg"": 4.52}, {""planet1"": ""Mercury"", ""planet2"": ""Saturn"", ""aspect"": ""Square"", ""orb_deg"": 3.67}, {""planet1"": ""Mercury"", ""planet2"": ""Rahu"", ""aspect"": ""Opposition"", ""orb_deg"": 2.07}, {""planet1"": ""Mercury"", ""planet2"": ""Ketu"", ""aspect"": ""Conjunction"", ""orb_deg"": 2.07}, {""planet1"": ""Venus"", ""planet2"": ""Saturn"", ""aspect"": ""Square"", ""orb_deg"": 0.84}, {""planet1"": ""Rahu"", ""planet2"": ""Ketu"", ""aspect"": ""Opposition"", ""orb_deg"": 0.0}]",True,Lunar,5,Full Moon,99.8,,none,mild_trend,bullish,low,Mars,5.79,109.62,-0.45,bearish,,
2022-11-09,Wednesday,1707.4,1710.1,1720.2,1706.0,14.2,0.16,True,1669.3,1732.7,below,1720.2,1706.0,UP,"{""0"": 1706.0, ""0.2126"": 1709.02, ""0.5"": 1713.1, ""0.618"": 1714.78, ""0.7874"": 1717.18, ""1"": 1720.2, ""1.2126"": 1723.22, ""1.5"": 1727.3, ""1.618"": 1728.98, ""1.7874"": 1731.38}",True,0.2126,bounce,172,10,1655.05,1786.2,131.15,False,,"{""base"": 172, ""scale"": 10, ""supports"": [1235.4, 1291.6, 1349.05, 1407.75, 1467.7, 1528.9, 1591.35, 1655.05], ""resistances"": [1786.2, 1853.65, 1922.35, 1992.3, 2063.5, 2135.95, 2209.65, 2284.6]}",Libra,22.38,Aries,28.7,Krittika,Libra,22.57,False,Libra,26.73,False,Gemini,0.79,True,Pisces,5.01,True,Capricorn,24.66,False,Aries,18.84,Libra,18.84,0.19,E,True,4.35,E,False,141.59,False,132.63,92.28,"[{""planet1"": ""Sun"", ""planet2"": ""Mercury"", ""aspect"": ""Conjunction"", ""orb_deg"": 0.18}, {""planet1"": ""Sun"", ""planet2"": ""Venus"", ""aspect"": ""Conjunction"", ""orb_deg"": 4.34}, {""planet1"": ""Sun"", ""planet2"": ""Saturn"", ""aspect"": ""Square"", ""orb_deg"": 2.27}, {""planet1"": ""Sun"", ""planet2"": ""Rahu"", ""aspect"": ""Opposition"", ""orb_deg"": 3.55}, {""planet1"": ""Sun"", ""planet2"": ""Ketu"", ""aspect"": ""Conjunction"", ""orb_deg"": 3.55}, {""planet1"": ""Moon"", ""planet2"": ""Venus"", ""aspect"": ""Opposition"", ""orb_deg"": 1.97}, {""planet1"": ""Mercury"", ""planet2"": ""Venus"", ""aspect"": ""Conjunction"", ""orb_deg"": 4.16}, {""planet1"": ""Mercury"", ""planet2"": ""Saturn"", ""aspect"": ""Square"", ""orb_deg"": 2.09}, {""planet1"": ""Mercury"", ""planet2"": ""Rahu"", ""aspect"": ""Opposition"", ""orb_deg"": 3.73}, {""planet1"": ""Mercury"", ""planet2"": ""Ketu"", ""aspect"": ""Conjunction"", ""orb_deg"": 3.73}, {""planet1"": ""Venus"", ""planet2"": ""Saturn"", ""aspect"": ""Square"", ""orb_deg"": 2.07}, {""planet1"": ""Rahu"", ""planet2"": ""Ketu"", ""aspect"": ""Opposition"", ""orb_deg"": 0.0}]",True,Lunar,6,Full Moon,99.7,,none,reversal_signal,bullish,low,Mercury,5.8,110.55,0.85,bullish,,
2022-11-10,Thursday,1708.2,1750.3,1750.3,1708.2,42.1,2.46,True,1674.37,1733.01,below,1750.3,1708.2,UP,"{""0"": 1708.2, ""0.2126"": 1717.15, ""0.5"": 1729.25, ""0.618"": 1734.22, ""0.7874"": 1741.35, ""1"": 1750.3, ""1.2126"": 1759.25, ""1.5"": 1771.35, ""1.618"": 1776.32, ""1.7874"": 1783.45}",True,1,bounce,175,10,1684.48,1816.77,132.29,False,,"{""base"": 175, ""scale"": 10, ""supports"": [1260.85, 1317.62, 1375.64, 1434.91, 1495.42, 1557.19, 1620.21, 1684.48], ""resistances"": [1816.77, 1884.79, 1954.06, 2024.58, 2096.34, 2169.36, 2243.63, 2319.15]}",Libra,23.39,Taurus,11.22,Rohini,Libra,24.17,False,Libra,27.98,False,Gemini,0.65,True,Pisces,4.96,True,Capricorn,24.69,False,Aries,18.78,Libra,18.78,0.78,E,True,4.59,E,False,142.74,False,131.57,91.3,"[{""planet1"": ""Sun"", ""planet2"": ""Mercury"", ""aspect"": ""Conjunction"", ""orb_deg"": 0.79}, {""planet1"": ""Sun"", ""planet2"": ""Venus"", ""aspect"": ""Conjunction"", ""orb_deg"": 4.59}, {""planet1"": ""Sun"", ""planet2"": ""Saturn"", ""aspect"": ""Square"", ""orb_deg"": 1.3}, {""planet1"": ""Sun"", ""planet2"": ""Rahu"", ""aspect"": ""Opposition"", ""orb_deg"": 4.6}, {""planet1"": ""Sun"", ""planet2"": ""Ketu"", ""aspect"": ""Conjunction"", ""orb_deg"": 4.6}, {""planet1"": ""Mercury"", ""planet2"": ""Venus"", ""aspect"": ""Conjunction"", ""orb_deg"": 3.81}, {""planet1"": ""Mercury"", ""planet2"": ""Saturn"", ""aspect"": ""Square"", ""orb_deg"": 0.51}, {""planet1"": ""Venus"", ""planet2"": ""Saturn"", ""aspect"": ""Square"", ""orb_deg"": 3.29}, {""planet1"": ""Rahu"", ""planet2"": ""Ketu"", ""aspect"": ""Opposition"", ""orb_deg"": 0.0}]",False,,0,Full Moon,97.6,CPI (Consumer Price Index) (high) | Initial Jobless Claims (low),high,strong_trend,bullish,high,Jupiter,5.8,108.21,-2.12,bearish,,
2022-11-11,Friday,1763.8,1766.0,1766.0,1757.6,8.4,0.12,True,1680.09,1733.59,below,1766.0,1757.6,UP,"{""0"": 1757.6, ""0.2126"": 1759.39, ""0.5"": 1761.8, ""0.618"": 1762.79, ""0.7874"": 1764.21, ""1"": 1766.0, ""1.2126"": 1767.79, ""1.5"": 1770.2, ""1.618"": 1771.19, ""1.7874"": 1772.61}",True,0.7874,bounce,176,10,1694.29,1826.96,132.67,False,,"{""base"": 176, ""scale"": 10, ""supports"": [1269.34, 1326.3, 1384.51, 1443.96, 1504.67, 1566.63, 1629.84, 1694.29], ""resistances"": [1826.96, 1895.16, 1964.62, 2035.33, 2107.29, 2180.49, 2254.95, 2330.66]}",Libra,24.39,Taurus,23.52,Mrigashira,Libra,25.77,False,Libra,29.23,False,Gemini,0.49,True,Pisces,4.92,True,Capricorn,24.72,False,Aries,18.73,Libra,18.73,1.38,E,True,4.84,E,False,143.9,False,130.53,90.33,"[{""planet1"": ""Sun"", ""planet2"": ""Mercury"", ""aspect"": ""Conjunction"", ""orb_deg"": 1.38}, {""planet1"": ""Sun"", ""planet2"": ""Venus"", ""aspect"": ""Conjunction"", ""orb_deg"": 4.84}, {""planet1"": ""Sun"", ""planet2"": ""Saturn"", ""aspect"": ""Square"", ""orb_deg"": 0.33}, {""planet1"": ""Moon"", ""planet2"": ""Saturn"", ""aspect"": ""Trine"", ""orb_deg"": 1.2}, {""planet1"": ""Mercury"", ""planet2"": ""Venus"", ""aspect"": ""Conjunction"", ""orb_deg"": 3.46}, {""planet1"": ""Mercury"", ""planet2"": ""Saturn"", ""aspect"": ""Square"", ""orb_deg"": 1.05}, {""planet1"": ""Rahu"", ""planet2"": ""Ketu"", ""aspect"": ""Opposition"", ""orb_deg"": 0.0}]",False,,0,Waning Gibbous,93.7,,none,reversal_signal,bullish,low,Venus,5.81,106.29,-1.77,bearish,,
2022-11-14,Monday,1762.0,1773.6,1773.6,1761.6,12.0,0.66,True,1685.94,1734.29,below,1773.6,1761.6,UP,"{""0"": 1761.6, ""0.2126"": 1764.15, ""0.5"": 1767.6, ""0.618"": 1769.02, ""0.7874"": 1771.05, ""1"": 1773.6, ""1.2126"": 1776.15, ""1.5"": 1779.6, ""1.618"": 1781.02, ""1.7874"": 1783.05}",True,0.7874,bounce,177,10,1704.1,1837.15,133.05,False,,"{""base"": 177, ""scale"": 10, ""supports"": [1277.83, 1334.98, 1393.38, 1453.02, 1513.92, 1576.06, 1639.46, 1704.1], ""resistances"": [1837.15, 1905.54, 1975.19, 2046.08, 2118.23, 2191.62, 2266.27, 2342.17]}",Libra,27.41,Gemini,29.5,Punarvasu,Scorpio,0.54,False,Scorpio,3.0,False,Taurus,29.93,True,Pisces,4.8,True,Capricorn,24.82,False,Aries,18.57,Libra,18.57,3.13,E,False,5.59,E,False,147.48,False,127.39,87.41,"[{""planet1"": ""Sun"", ""planet2"": ""Moon"", ""aspect"": ""Trine"", ""orb_deg"": 2.1}, {""planet1"": ""Sun"", ""planet2"": ""Mercury"", ""aspect"": ""Conjunction"", ""orb_deg"": 3.13}, {""planet1"": ""Sun"", ""planet2"": ""Saturn"", ""aspect"": ""Square"", ""orb_deg"": 2.59}, {""planet1"": ""Moon"", ""planet2"": ""Mercury"", ""aspect"": ""Trine"", ""orb_deg"": 1.03}, {""planet1"": ""Moon"", ""planet2"": ""Venus"", ""aspect"": ""Trine"", ""orb_deg"": 3.49}, {""planet1"": ""Mercury"", ""planet2"": ""Venus"", ""aspect"": ""Conjunction"", ""orb_deg"": 2.46}, {""planet1"": ""Venus"", ""planet2"": ""Jupiter"", ""aspect"": ""Trine"", ""orb_deg"": 1.8}, {""planet1"": ""Rahu"", ""planet2"": ""Ketu"", ""aspect"": ""Opposition"", ""orb_deg"": 0.0}]",False,,0,Waning Gibbous,73.4,Retail Sales (medium) | Michigan Consumer Sentiment (medium),medium,mild_trend,bullish,low,Moon,5.83,106.66,0.35,bullish,,
